log_id,student_id,session_date,attended
ATT-F14DEE8C,STU-506F47,2025-06-02,1
ATT-2DAA7BF1,STU-506F47,2025-06-09,1
ATT-76207A7C,STU-506F47,2025-06-16,0
ATT-2E867AD0,STU-506F47,2025-06-23,0
ATT-51E66F9E,STU-506F47,2025-06-30,1
ATT-80671F97,STU-506F47,2025-07-07,1
ATT-0C703C0D,STU-506F47,2025-07-14,0
ATT-271DCB36,STU-506F47,2025-07-21,1
ATT-9F151337,STU-506F47,2025-07-28,1
ATT-E0596747,STU-506F47,2025-08-04,0
ATT-A650E5BF,STU-506F47,2025-08-11,1
ATT-3B79404F,STU-506F47,2025-08-18,1
ATT-FE54658E,STU-506F47,2025-08-25,0
ATT-8A6A9F6E,STU-506F47,2025-09-01,0
ATT-0BCFACFB,STU-506F47,2025-09-08,1
ATT-900E079C,STU-506F47,2025-09-15,1
ATT-C51D2FA7,STU-506F47,2025-09-22,0
ATT-908D4F4F,STU-506F47,2025-09-29,0
ATT-9E57780F,STU-506F47,2025-10-06,1
ATT-106EDCB4,STU-506F47,2025-10-13,1
ATT-79F5174F,STU-506F47,2025-10-20,1
ATT-1AEF8950,STU-506F47,2025-10-27,1
ATT-332FBF1F,STU-506F47,2025-11-03,0
ATT-24DE8CAD,STU-506F47,2025-11-10,1
ATT-7549BDBB,STU-506F47,2025-11-17,1
ATT-3BD94A2C,STU-506F47,2025-11-24,1
ATT-666255A4,STU-506F47,2025-12-01,1
ATT-CA9477BB,STU-506F47,2025-06-05,0
ATT-A5BA9016,STU-506F47,2025-06-12,0
ATT-3A56163A,STU-506F47,2025-06-19,1
ATT-6D313CCC,STU-506F47,2025-06-26,0
ATT-CC7E1C74,STU-506F47,2025-07-03,1
ATT-0B8EC777,STU-506F47,2025-07-10,1
ATT-10D34F6B,STU-506F47,2025-07-17,1
ATT-DD5005A4,STU-506F47,2025-07-24,1
ATT-5C39BA97,STU-506F47,2025-07-31,1
ATT-1D580C75,STU-506F47,2025-08-07,1
ATT-DE79E41E,STU-506F47,2025-08-14,1
ATT-7A59E985,STU-506F47,2025-08-21,0
ATT-6039F14E,STU-506F47,2025-08-28,1
ATT-742D0D1F,STU-506F47,2025-09-04,1
ATT-F3921397,STU-506F47,2025-09-11,0
ATT-F5E18D66,STU-506F47,2025-09-18,1
ATT-70D27D62,STU-506F47,2025-09-25,0
ATT-D20E1063,STU-506F47,2025-10-02,0
ATT-87B18741,STU-506F47,2025-10-09,1
ATT-5CDC9429,STU-506F47,2025-10-16,1
ATT-87A16D9F,STU-506F47,2025-10-23,1
ATT-38E25CA0,STU-506F47,2025-10-30,1
ATT-C98D94FC,STU-506F47,2025-11-06,0
ATT-CF6CC024,STU-506F47,2025-11-13,1
ATT-F06B4BA5,STU-506F47,2025-11-20,0
ATT-6CAD4690,STU-506F47,2025-11-27,1
ATT-35249343,STU-8E8A2A,2025-06-02,1
ATT-6D88C90A,STU-8E8A2A,2025-06-09,1
ATT-6CD996FF,STU-8E8A2A,2025-06-16,1
ATT-560851EE,STU-8E8A2A,2025-06-23,1
ATT-3E1CFB99,STU-8E8A2A,2025-06-30,1
ATT-A53E38D8,STU-8E8A2A,2025-07-07,1
ATT-CA14F2D4,STU-8E8A2A,2025-07-14,1
ATT-EEF566D1,STU-8E8A2A,2025-07-21,0
ATT-75D8C3A0,STU-8E8A2A,2025-07-28,1
ATT-353F8900,STU-8E8A2A,2025-08-04,1
ATT-7D0647D4,STU-8E8A2A,2025-08-11,1
ATT-733684E2,STU-8E8A2A,2025-08-18,1
ATT-59A3B479,STU-8E8A2A,2025-08-25,1
ATT-8E8E1B25,STU-8E8A2A,2025-09-01,1
ATT-98C72478,STU-8E8A2A,2025-09-08,1
ATT-89C7B68A,STU-8E8A2A,2025-09-15,0
ATT-EEC1F86F,STU-8E8A2A,2025-09-22,0
ATT-49814624,STU-8E8A2A,2025-09-29,1
ATT-1B441539,STU-8E8A2A,2025-10-06,1
ATT-B51ABFE8,STU-8E8A2A,2025-10-13,1
ATT-3816FE38,STU-8E8A2A,2025-10-20,0
ATT-6AF2A6E3,STU-8E8A2A,2025-10-27,1
ATT-779F39E0,STU-8E8A2A,2025-11-03,1
ATT-C3813F2C,STU-8E8A2A,2025-11-10,1
ATT-C455DD76,STU-8E8A2A,2025-11-17,1
ATT-4963CA38,STU-8E8A2A,2025-11-24,1
ATT-8A646376,STU-8E8A2A,2025-12-01,1
ATT-4EC00691,STU-8E8A2A,2025-06-05,1
ATT-2965DF28,STU-8E8A2A,2025-06-12,1
ATT-6056752B,STU-8E8A2A,2025-06-19,1
ATT-4EC7FFAD,STU-8E8A2A,2025-06-26,1
ATT-AB5C9988,STU-8E8A2A,2025-07-03,1
ATT-59A746A4,STU-8E8A2A,2025-07-10,1
ATT-DBA36436,STU-8E8A2A,2025-07-17,0
ATT-329F9275,STU-8E8A2A,2025-07-24,0
ATT-B93AA20D,STU-8E8A2A,2025-07-31,1
ATT-509620C6,STU-8E8A2A,2025-08-07,1
ATT-52F823DE,STU-8E8A2A,2025-08-14,1
ATT-41BB1A32,STU-8E8A2A,2025-08-21,1
ATT-B6C95C7A,STU-8E8A2A,2025-08-28,1
ATT-4B7A78B1,STU-8E8A2A,2025-09-04,1
ATT-E4A9C38C,STU-8E8A2A,2025-09-11,1
ATT-BB3DF7C4,STU-8E8A2A,2025-09-18,1
ATT-E12EB18A,STU-8E8A2A,2025-09-25,1
ATT-B0F273B7,STU-8E8A2A,2025-10-02,0
ATT-35178118,STU-8E8A2A,2025-10-09,1
ATT-88BD406B,STU-8E8A2A,2025-10-16,1
ATT-7D2900A8,STU-8E8A2A,2025-10-23,1
ATT-C512E4E0,STU-8E8A2A,2025-10-30,1
ATT-8E98E48B,STU-8E8A2A,2025-11-06,1
ATT-013E4322,STU-8E8A2A,2025-11-13,1
ATT-910D1DCD,STU-8E8A2A,2025-11-20,1
ATT-7A825907,STU-8E8A2A,2025-11-27,1
ATT-18288A36,STU-24C85E,2025-06-02,0
ATT-0C99A6B8,STU-24C85E,2025-06-09,0
ATT-F72817F6,STU-24C85E,2025-06-16,1
ATT-1CBD3370,STU-24C85E,2025-06-23,1
ATT-A5827E7E,STU-24C85E,2025-06-30,1
ATT-1B42EACA,STU-24C85E,2025-07-07,1
ATT-CA6ADA4A,STU-24C85E,2025-07-14,1
ATT-40175D2E,STU-24C85E,2025-07-21,1
ATT-2DAC867A,STU-24C85E,2025-07-28,1
ATT-DE684396,STU-24C85E,2025-08-04,1
ATT-5EF08D6E,STU-24C85E,2025-08-11,1
ATT-7F06BA3A,STU-24C85E,2025-08-18,0
ATT-1DA5FB2F,STU-24C85E,2025-08-25,0
ATT-1505C54B,STU-24C85E,2025-09-01,1
ATT-C15DCBB9,STU-24C85E,2025-09-08,1
ATT-82ADCB4D,STU-24C85E,2025-09-15,1
ATT-F0A98A8B,STU-24C85E,2025-09-22,1
ATT-0B97B96B,STU-24C85E,2025-09-29,1
ATT-35115186,STU-24C85E,2025-10-06,1
ATT-0C5FD0DD,STU-24C85E,2025-10-13,1
ATT-49584CBB,STU-24C85E,2025-10-20,0
ATT-768BBDBC,STU-24C85E,2025-10-27,0
ATT-A6947084,STU-24C85E,2025-11-03,1
ATT-B32F9B44,STU-24C85E,2025-11-10,1
ATT-1DB9204E,STU-24C85E,2025-11-17,1
ATT-45DBB999,STU-24C85E,2025-11-24,1
ATT-DA94E69C,STU-24C85E,2025-12-01,1
ATT-B1F92C60,STU-24C85E,2025-06-05,1
ATT-D3F03343,STU-24C85E,2025-06-12,1
ATT-E64ECA9D,STU-24C85E,2025-06-19,1
ATT-886D2542,STU-24C85E,2025-06-26,0
ATT-89F6379B,STU-24C85E,2025-07-03,1
ATT-BEEC5791,STU-24C85E,2025-07-10,1
ATT-D5C63AEF,STU-24C85E,2025-07-17,1
ATT-0E48B3AE,STU-24C85E,2025-07-24,1
ATT-2516B3E7,STU-24C85E,2025-07-31,1
ATT-0A177416,STU-24C85E,2025-08-07,1
ATT-DD8AD9F4,STU-24C85E,2025-08-14,1
ATT-389CED5D,STU-24C85E,2025-08-21,0
ATT-D0152172,STU-24C85E,2025-08-28,1
ATT-379F831A,STU-24C85E,2025-09-04,1
ATT-EA92D6DF,STU-24C85E,2025-09-11,1
ATT-EBFE5752,STU-24C85E,2025-09-18,1
ATT-2D561451,STU-24C85E,2025-09-25,1
ATT-645FF992,STU-24C85E,2025-10-02,1
ATT-E348487D,STU-24C85E,2025-10-09,1
ATT-598F04F6,STU-24C85E,2025-10-16,1
ATT-4FBA2994,STU-24C85E,2025-10-23,1
ATT-0A9D0EA7,STU-24C85E,2025-10-30,1
ATT-B1B41392,STU-24C85E,2025-11-06,1
ATT-4FEBB48B,STU-24C85E,2025-11-13,1
ATT-3519C629,STU-24C85E,2025-11-20,1
ATT-0D2CC5FC,STU-24C85E,2025-11-27,1
ATT-454AD7B3,STU-B1E84D,2025-06-02,1
ATT-4EFDF4C8,STU-B1E84D,2025-06-09,1
ATT-B43D39AE,STU-B1E84D,2025-06-16,1
ATT-5A5D6A10,STU-B1E84D,2025-06-23,1
ATT-521FD68B,STU-B1E84D,2025-06-30,1
ATT-8A6EBF7A,STU-B1E84D,2025-07-07,1
ATT-FAE8739E,STU-B1E84D,2025-07-14,0
ATT-B265F5B9,STU-B1E84D,2025-07-21,1
ATT-07810801,STU-B1E84D,2025-07-28,1
ATT-984D26DD,STU-B1E84D,2025-08-04,0
ATT-C3DD033A,STU-B1E84D,2025-08-11,1
ATT-333DCD8A,STU-B1E84D,2025-08-18,1
ATT-52F7834B,STU-B1E84D,2025-08-25,0
ATT-44E325DB,STU-B1E84D,2025-09-01,1
ATT-A32D49A5,STU-B1E84D,2025-09-08,1
ATT-70DE8AB4,STU-B1E84D,2025-09-15,0
ATT-CA5B6B6F,STU-B1E84D,2025-09-22,1
ATT-0DB4A325,STU-B1E84D,2025-09-29,1
ATT-20152EDB,STU-B1E84D,2025-10-06,1
ATT-4A582DFD,STU-B1E84D,2025-10-13,1
